event	round	count	exit
mem_load_misc_retired.uc:u	1	0	0
mem_load_misc_retired.uc:u	2	0	0
mem_load_misc_retired.uc:u	3	0	0
mem_load_misc_retired.uc:u	4	0	0
mem_load_misc_retired.uc:u	5	0	0
mem_load_misc_retired.uc:u	6	0	0
mem_load_misc_retired.uc:u	7	0	0
mem_load_misc_retired.uc:u	8	0	0
mem_load_misc_retired.uc:u	9	0	0
mem_load_misc_retired.uc:u	10	0	0
mem_load_misc_retired.uc:u	11	0	0
mem_load_misc_retired.uc:u	12	0	0
mem_load_misc_retired.uc:u	13	0	0
mem_load_misc_retired.uc:u	14	0	0
mem_load_misc_retired.uc:u	15	0	0
mem_load_misc_retired.uc:u	16	0	0
mem_load_misc_retired.uc:u	17	0	0
mem_load_misc_retired.uc:u	18	0	0
mem_load_misc_retired.uc:u	19	0	0
mem_load_misc_retired.uc:u	20	0	0
mem_load_misc_retired.uc:u	21	0	0
mem_load_misc_retired.uc:u	22	0	0
mem_load_misc_retired.uc:u	23	0	0
mem_load_misc_retired.uc:u	24	0	0
mem_load_misc_retired.uc:u	25	0	0
mem_load_misc_retired.uc:u	26	0	0
mem_load_misc_retired.uc:u	27	0	0
mem_load_misc_retired.uc:u	28	0	0
mem_load_misc_retired.uc:u	29	0	0
mem_load_misc_retired.uc:u	30	0	0
mem_load_misc_retired.uc:u	31	0	0
mem_load_misc_retired.uc:u	32	0	0
mem_load_misc_retired.uc:u	33	0	0
mem_load_misc_retired.uc:u	34	0	0
mem_load_misc_retired.uc:u	35	0	0
mem_load_misc_retired.uc:u	36	0	0
mem_load_misc_retired.uc:u	37	0	0
mem_load_misc_retired.uc:u	38	0	0
mem_load_misc_retired.uc:u	39	0	0
mem_load_misc_retired.uc:u	40	0	0
mem_load_misc_retired.uc:u	41	0	0
mem_load_misc_retired.uc:u	42	0	0
mem_load_misc_retired.uc:u	43	0	0
mem_load_misc_retired.uc:u	44	0	0
mem_load_misc_retired.uc:u	45	0	0
mem_load_misc_retired.uc:u	46	0	0
mem_load_misc_retired.uc:u	47	0	0
mem_load_misc_retired.uc:u	48	0	0
mem_load_misc_retired.uc:u	49	0	0
mem_load_misc_retired.uc:u	50	0	0
mem_load_misc_retired.uc:u	51	0	0
mem_load_misc_retired.uc:u	52	0	0
mem_load_misc_retired.uc:u	53	0	0
mem_load_misc_retired.uc:u	54	0	0
mem_load_misc_retired.uc:u	55	0	0
mem_load_misc_retired.uc:u	56	0	0
mem_load_misc_retired.uc:u	57	0	0
mem_load_misc_retired.uc:u	58	0	0
mem_load_misc_retired.uc:u	59	0	0
mem_load_misc_retired.uc:u	60	0	0
