event	round	count	exit
bus-cycles:u	1	76707097	0
bus-cycles:u	2	76607667	0
tx-abort:u	1	0	0
tx-abort:u	2	0	0
tx-abort:u	3	0	0
tx-abort:u	4	0	0
tx-abort:u	5	0	0
l2_rqsts.all_rfo:u	1	399184	0
l2_rqsts.all_rfo:u	2	383443	0
mem_inst_retired.split_stores:u	1	200000	0
mem_inst_retired.split_stores:u	2	200000	0
mem_inst_retired.split_stores:u	3	200000	0
mem_inst_retired.split_stores:u	4	200000	0
mem_inst_retired.split_stores:u	5	200000	0
sq_misc.split_lock:u	1	0	0
sq_misc.split_lock:u	2	0	0
sq_misc.split_lock:u	3	0	0
sq_misc.split_lock:u	4	0	0
sq_misc.split_lock:u	5	0	0
decode.lcp:u	1	713240	0
decode.lcp:u	2	713364	0
idq.ms_dsb_cycles:u	1	799936	0
idq.ms_dsb_cycles:u	2	799653	0
hle_retired.start:u	1	0	0
hle_retired.start:u	2	0	0
hle_retired.start:u	3	0	0
hle_retired.start:u	4	0	0
hle_retired.start:u	5	0	0
tx_mem.abort_hle_elision_buffer_unsupported_alignment:u	1	0	0
tx_mem.abort_hle_elision_buffer_unsupported_alignment:u	2	0	0
tx_mem.abort_hle_elision_buffer_unsupported_alignment:u	3	0	0
tx_mem.abort_hle_elision_buffer_unsupported_alignment:u	4	0	0
tx_mem.abort_hle_elision_buffer_unsupported_alignment:u	5	0	0
br_inst_retired.cond:u	1	8220000	0
br_inst_retired.cond:u	2	8220000	0
br_inst_retired.cond:u	3	8220000	0
br_inst_retired.cond:u	4	8220000	0
br_inst_retired.cond:u	5	8220000	0
cpu_clk_unhalted.ref_tsc:u	1	6713063544	0
cpu_clk_unhalted.ref_tsc:u	2	6752000904	0
exe_activity.exe_bound_0_ports:u	1	87461125	0
exe_activity.exe_bound_0_ports:u	2	87370765	0
machine_clears.smc:u	1	2521	0
machine_clears.smc:u	2	2504	0
uops_executed.core_cycles_ge_3:u	1	1778295714	0
uops_executed.core_cycles_ge_3:u	2	1774999101	0
dtlb_load_misses.stlb_hit:u	1	60307	0
dtlb_load_misses.stlb_hit:u	2	61283	0
itlb_misses.walk_completed_1g:u	1	0	0
itlb_misses.walk_completed_1g:u	2	0	0
itlb_misses.walk_completed_1g:u	3	0	0
itlb_misses.walk_completed_1g:u	4	0	0
itlb_misses.walk_completed_1g:u	5	0	0
